species,avgbrood,avgsire,pmult,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
"Roe deer, Capreolus capreolus",2.1,1.2,0.155,0.58943504,0.017812793,0.55531587,0.62408794,1.336363636,0.576466955,1,3,3.472939091,1.776818965,2,8,2.269271011,0.98175781,1.609837413,5.097521092,0.450525291,0.018757192,0.415143495,0.487595788,1.463742691,0.019923728,1.426239733,1.503203597,2.037712744,0.061775187,1.922805944,2.160932299,0.449988862,0.410411826,0.490558665,0.294988862,0.255411826,0.335558665
"White-tailed deer, Odocoileus virginianus",2.1,1.3,0.259,0.605463405,0.009822666,0.586052061,0.624707343,1.387037037,0.62228563,1,3,3.53377213,1.811037795,2,8,2.291471999,1.028863516,1.605214837,4.984830937,0.45083266,0.019545385,0.417816168,0.484813294,1.457968007,0.026023442,1.417816168,1.500230976,2.230284496,0.090206681,2.091537756,2.375377963,0.449988862,0.410411826,0.490558665,0.190988862,0.151411826,0.231558665
"White-tailed deer, Odocoileus virginianus",2,1.4,0.37,0.605463405,0.009822666,0.586052061,0.624707343,1.387037037,0.62228563,1,3,3.53377213,1.811037795,2,8,2.291471999,1.028863516,1.605214837,4.984830937,0.45083266,0.019545385,0.417816168,0.484813294,1.457968007,0.026023442,1.417816168,1.500230976,2.230284496,0.090206681,2.091537756,2.375377963,0.429716182,0.392753864,0.467779365,0.059716182,0.022753864,0.097779365
"Wild boar, Sus scrofa",4.5,1.1,0.1,0.326394652,0.01252915,0.301612921,0.351219065,1.483333333,0.685362954,1,3,5.624996333,3.683105905,2,15,4.551324867,2.111767216,2.869385878,9.516992599,0.556496386,0.019382259,0.517761038,0.594487782,1.767765148,0.037769874,1.694047604,1.843574388,3.375139789,0.130108492,3.131948433,3.647058612,0.659904424,0.604891687,0.713041235,0.559904424,0.504891687,0.613041235
"White-toothed shrew, Crocidura russula",2.3,1,0,0.519045323,0.015117953,0.489372105,0.548665442,1.326190476,0.625474951,1,3,3.721896429,2.099704781,2,9,2.557229554,1.20889438,1.82930135,5.87180465,0.434014095,0.015980414,0.402966321,0.465634532,1.466259366,0.018536667,1.430417893,1.503108119,1.928252087,0.056293687,1.822604312,2.043434821,0.487256829,0.443154973,0.53211676,0.487256829,0.443154973,0.53211676
"Asian lesser wihte-toothed shrew, Crocidura shantungensis",3,1.3,0.277,0.47095895,0.020441057,0.430923684,0.511152746,1.561111111,0.803906581,1,3,4.551451667,2.710295008,2,11,3.321033167,1.717957081,1.975058406,6.971084346,0.535824677,0.025056891,0.486749879,0.585075197,1.658956788,0.038577746,1.584849542,1.736293089,2.765557868,0.12079398,2.543271088,3.016775476,0.584475093,0.530912982,0.637795062,0.307475093,0.253912982,0.360795062
"Big brown bat, Eptesicus fuscus",2,1.5,0.462,0.596896893,0.019887631,0.557802286,0.635257605,1.415384615,0.665462551,1,3,3.628534231,1.920822637,2,9,2.373884072,1.119567023,1.582498462,5.184518006,0.425698273,0.020203314,0.386772411,0.465478032,1.425698273,0.020203314,1.386772411,1.465478032,2.515801054,0.084267373,2.361246823,2.689124871,0.429716182,0.392753864,0.467779365,-0.032283818,-0.069246136,0.005779365
"Western European hedgehog, Erinaceus europaeus",5,1.4,0.4,0.356345523,0.028945718,0.300182831,0.414058017,1.92,1.055273532,1,4,6.575524,4.335890419,2,18,5.424083728,3.024494618,2.478571003,12.62453968,0.654982334,0.043371918,0.567393604,0.737861127,2.005054085,0.106904545,1.803659536,2.223888256,3.955061052,0.325880529,3.381168683,4.66382437,0.673552872,0.61811459,0.726903873,0.273552872,0.21811459,0.326903873
"Snowshoe hare, Lepus americanus",4,1.3,0.25,0.387853668,0.019153317,0.351021521,0.426128362,1.54375,0.757024633,1,3,5.1360675,3.218202854,2,13,3.989977571,1.96896012,2.37083176,8.254867404,0.585750143,0.02683858,0.533459961,0.638671182,1.805510155,0.052290854,1.706860528,1.911869807,3.359981113,0.166510789,3.050723953,3.703476634,0.643953691,0.590335828,0.696017461,0.393953691,0.340335828,0.446017461
"Gray mouse lemur, Microcebus murinus",2,1.7,0.654,0.627651922,0.0193453,0.589459477,0.665236325,1.534615385,0.781242902,1,3,3.791026538,2.055133859,2,9,2.447342599,1.248790701,1.51261963,4.999481946,0.457645767,0.020546865,0.417896167,0.49839259,1.457645767,0.020546865,1.417896167,1.49839259,2.711091301,0.083915879,2.555482819,2.88399808,0.429716182,0.392753864,0.467779365,-0.224283818,-0.261246136,-0.186220635
